NO_MUNICIPIO_ESC,NOTA_MEDIA,INVESTIMENTO_TOTAL,TAMANHO_AMOSTRA,REPASSE_MEDIO_MUNICIPIO,APROVADOS_SISU_TOTAL,TAXA_APROVACAO_SISU,Cluster
BELFORD ROXO,473.6194997945768,222599506.14491162,4868,222599506.14491162,317.0,0.06511914543960559,0
DUQUE DE CAXIAS,494.9442781316348,1246275145.545462,11775,1246275145.545462,796.8181818181819,0.06767033391237214,2
GUAPIMIRIM,493.1785798122066,52199326.73665446,426,52199326.73665446,41.63636363636363,0.09773794280836534,1
ITAGUAI,488.38488117573485,180716556.5296563,1599,180716556.5296563,127.63636363636364,0.07982261640798226,1
JAPERI,469.37726063829786,52540955.27756154,940,52540955.27756154,57.0,0.06063829787234042,0
MAGE,485.70953199760766,124187871.79584557,3344,124187871.79584557,189.8181818181818,0.056763810352327096,0
MESQUITA,482.42782234957025,80448883.31845729,1745,80448883.31845729,195.54545454545453,0.11206043240427194,1
NILOPOLIS,502.6078824626866,104714782.58889511,3216,104714782.58889511,245.45454545454547,0.07632293080054274,1
NOVA IGUACU,495.6707913700295,325382730.1104354,11518,325382730.1104354,887.5454545454545,0.0770572542581572,1
PARACAMBI,502.54619784656796,45808822.26040447,743,45808822.26040447,77.45454545454545,0.10424568701823075,1
QUEIMADOS,475.84949840401276,92969891.2646098,2193,92969891.2646098,147.27272727272728,0.06715582638975252,0
SAO JOAO DE MERITI,488.53750407564394,311667659.8453014,6134,311667659.8453014,503.72727272727275,0.08212052049678395,1
SEROPEDICA,503.0339962709757,71475194.64665686,1609,71475194.64665686,126.36363636363636,0.07853551048081812,1
