NO_MUNICIPIO_ESC,n_candidatos,media_nota,mediana_nota,desvio_padrao_nota,media_redacao
PARACAMBI,2281,520.3252411223148,515.05,69.49802061540566,574.5493204734765
NILOPOLIS,9401,510.75418838421444,502.04999999999995,67.65732654179222,556.6660993511329
SEROPEDICA,4741,507.52946635730865,496.9,67.86382079348199,544.1889896646277
NOVA IGUACU,33536,503.68357138597327,495.8,64.46524067966017,543.3305999522901
GUAPIMIRIM,1402,502.918562767475,497.2125,64.1665705897423,538.944365192582
DUQUE DE CAXIAS,34630,502.8596643084031,495.20000000000005,63.513251958924556,541.7809413803061
ITAGUAI,5103,499.64961297276113,493.80000000000007,59.9353331198379,528.1450127376054
SAO JOAO DE MERITI,18310,497.38014609503,491.65000000000003,57.98715747061479,537.9268705625342
MAGE,9231,493.95448217961217,487.875,58.49800231810096,518.6339508178962
MESQUITA,5246,489.95674799847507,485.7625,54.70328356085702,512.2619138391156
QUEIMADOS,6168,485.0029750324254,477.70000000000005,55.24204617448307,508.1027885862516
BELFORD ROXO,12136,480.27518333882665,476.2,51.88371187679538,500.0219182597231
JAPERI,2658,477.36570729872085,471.63750000000005,52.726030917986094,489.25884123401056
